,title,link,POI_ID,like,location,price,country,style,review,bookmark,discount,point,loc,latitude,longitude
11006,海底撈火鍋 Haidilao Hot Pot,www.openrice.com/zh/hongkong/r-%E6%B5%B7%E5%BA%95%E6%92%88%E7%81%AB%E9%8D%8B-%E9%8A%85%E9%91%BC%E7%81%A3-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%81%AB%E9%8D%8B-r579628,579628,5.0,銅鑼灣波斯富街99號利舞臺廣場19樓,$201-400,川菜 (四川),火鍋,(9 食評),1694,,"(22.278299, 114.183107, 0.0)","Hong Kong, 銅鑼灣波斯富街99號利舞臺廣場19樓",22.278299,114.183107
11027,蜀味府,www.openrice.com/zh/hongkong/r-%E8%9C%80%E5%91%B3%E5%BA%9C-%E9%8A%85%E9%91%BC%E7%81%A3-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%81%AB%E9%8D%8B-r534692,534692,8.0,銅鑼灣駱克道491-499號京都廣場7樓,$101-200,川菜 (四川),火鍋,(12 食評),869,,"(22.28036, 114.182775, 0.0)","京都 廣場 7 樓, Causeway Bay, Hong Kong",22.28036,114.182775
11043,南北樓 The Red Pepper Restaurant,www.openrice.com/zh/hongkong/r-%E5%8D%97%E5%8C%97%E6%A8%93-%E9%8A%85%E9%91%BC%E7%81%A3-%E4%BA%AC%E5%B7%9D%E6%BB%AC-%E7%B2%89%E9%BA%B5-%E7%B1%B3%E7%B7%9A-r3690,3690,11.0,銅鑼灣蘭芳道7號地下,$101-200,川菜 (四川),京川滬,(25 食評),932,,"(22.2786702, 114.1840701, 0.0)","號地下, 7 Lan Fong Rd, Causeway Bay, Hong Kong",22.2786702,114.1840701
11058,肥肥重慶雞煲,www.openrice.com/zh/hongkong/r-%E8%82%A5%E8%82%A5%E9%87%8D%E6%85%B6%E9%9B%9E%E7%85%B2-%E9%8A%85%E9%91%BC%E7%81%A3-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E9%9B%9E%E7%85%B2-r183779,183779,2.0,銅鑼灣駱克道447-449號中威商業大廈2樓,$101-200,川菜 (四川),雞煲,(6 食評),257,,"(22.2801387, 114.1814255, 0.0)","樓至3樓, Chung Wai Commercial Building, 447-449號 Lockhart Rd, Causeway Bay, Hong Kong",22.2801387,114.1814255
11068,精品私房川菜 Sichuan Private Kitchen,www.openrice.com/zh/hongkong/r-%E7%B2%BE%E5%93%81%E7%A7%81%E6%88%BF%E5%B7%9D%E8%8F%9C-%E9%8A%85%E9%91%BC%E7%81%A3-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-r99259,99259,,銅鑼灣百德新街27號華登大廈A座2樓A4號舖,$201-400,川菜 (四川),私房菜,(1 食評),227,,"(22.2806596, 114.1853565, 0.0)","27 Paterson St, Causeway Bay, Hong Kong",22.2806596,114.1853565
11076,麻辣私享 Spicy Gastronome,www.openrice.com/zh/hongkong/r-%E9%BA%BB%E8%BE%A3%E7%A7%81%E4%BA%AB-%E9%8A%85%E9%91%BC%E7%81%A3-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E9%9B%9E%E7%85%B2-r589132,589132,3.0,銅鑼灣渣甸街44號地舖,$101-200,川菜 (四川),火鍋,(7 食評),58,,"(22.2794814, 114.1855059, 0.0)","號地舖, 44 Jardine's Bazaar, Causeway Bay, Hong Kong",22.2794814,114.1855059
11082,玖 Club Nine,www.openrice.com/zh/hongkong/r-%E7%8E%96-%E9%8A%85%E9%91%BC%E7%81%A3-%E8%A5%BF%E5%BC%8F-%E9%85%92-r587507,587507,,銅鑼灣霎東街15-21號OLIV 9樓,$51-100,酒,川菜 (四川),,50,餐廳優惠月: 網上訂座以$88享Tapas 套餐,"(22.2778545, 114.1821968, 0.0)","9, 15 Sharp St E, Bowrington, Hong Kong",22.2778545,114.1821968
11087,川辣煮意,www.openrice.com/zh/hongkong/r-%E5%B7%9D%E8%BE%A3%E7%85%AE%E6%84%8F-%E9%8A%85%E9%91%BC%E7%81%A3-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%B2%89%E9%BA%B5-%E7%B1%B3%E7%B7%9A-r163736,163736,,銅鑼灣渣甸坊48號地舖,$50以下,川菜 (四川),粉麵/米線,,49,,"(22.2791316, 114.1852584, 0.0)","號地舖, 48 Jardine's Cres, Causeway Bay, Hong Kong",22.2791316,114.1852584
11089,金公館 Jin Gong Guan (已搬遷),www.openrice.com/zh/hongkong/r-%E9%87%91%E5%85%AC%E9%A4%A8-%E9%8A%85%E9%91%BC%E7%81%A3-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-r527010,527010,86.0,銅鑼灣謝斐道379-389號特麗樓1樓及地下5號舖,$201-400,川菜 (四川),中菜館,(94 食評),3034,,"(22.28004, 114.1797822, 0.0)","379 Jaffe Rd, Wan Chai, Hong Kong",22.28004,114.1797822
11596,香正苑,www.openrice.com/zh/hongkong/r-%E9%A6%99%E6%AD%A3%E8%8B%91-%E5%A4%A7%E5%9D%91-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%81%AB%E9%8D%8B-r497893,497893,36.0,大坑銅鑼灣道110-114號永興閣地下4號,$101-200,川菜 (四川),火鍋,(42 食評),423,,"(22.2802064, 114.1924472, 0.0)","地下4號, Wing Hing Court, 110-114 Tung Lo Wan Rd, Causeway Bay, Hong Kong",22.2802064,114.1924472
11600,前座飯堂,www.openrice.com/zh/hongkong/r-%E5%89%8D%E5%BA%A7%E9%A3%AF%E5%A0%82-%E5%A4%A7%E5%9D%91-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%B2%89%E9%BA%B5-%E7%B1%B3%E7%B7%9A-r563779,563779,3.0,大坑新村街39號地下,$50以下,滇菜 (雲南),川菜 (四川),(5 食評),461,,"(22.2781175, 114.1930038, 0.0)","號地下, 39 Sun Chun St, Tai Hang, Hong Kong",22.2781175,114.1930038
